p_bit;pe
0.0;0,0
0.1;0,34263
0.2;0,180224
0.3;0,379700
0.4;0,525312
0.5;0,546875
0.6;0,442368
0.7;0,268569
0.8;0,106495
0.9;0,16766
1.0;0,0
