p_bit;pe
0.0;0
0.1;0,1496944
0.2;0,4232832
0.3;0,6705828
0.4;0,8413696
0.5;0,9375
0.6;0,9811584
0.7;0,9962092
0.8;0,9996288
0.9;0,9999936
1.0;1
